,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
118,118.0,adam,mse,relu,relu,10.0,100.0,2.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
119,119.0,adam,mse,relu,relu,10.0,100.0,2.0,1.0,10.0,0.0,6482949570560.0,6482949570560.0,1634026.25,99.97929382324219,1.0,2546163.75,79.02332305908203,0.5289031736657247
120,120.0,adam,mse,relu,relu,10.0,100.0,4.0,1.0,1.0,0.0,6484056342528.0,6484056342528.0,1634233.625,99.9952392578125,1.0,2546381.0,106.46752166748047,0.5289031736657247
121,121.0,adam,mse,relu,relu,10.0,100.0,4.0,1.0,2.0,0.0,6482492391424.0,6482492391424.0,1633940.75,99.97271728515625,1.0,2546074.0,74.27021026611328,0.5289031736657247
122,122.0,adam,mse,relu,relu,10.0,100.0,4.0,1.0,4.0,0.0,6483371622400.0,6483371622400.0,1634105.625,99.98538208007812,1.0,2546246.5,85.20870208740234,0.5289031736657247
123,123.0,adam,mse,relu,relu,10.0,100.0,4.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
124,124.0,adam,mse,relu,relu,10.0,100.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
125,125.0,adam,mse,relu,relu,10.0,100.0,10.0,1.0,2.0,0.0,6483850821632.0,6483850821632.0,1634195.125,99.99226379394531,1.0,2546340.75,97.08815002441406,0.5289031736657247
126,126.0,adam,mse,relu,relu,10.0,100.0,10.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
127,127.0,adam,mse,relu,relu,10.0,100.0,10.0,1.0,10.0,0.0,6483361660928.0,6483361660928.0,1634103.375,99.98521423339844,1.0,2546244.5,84.9896469116211,0.5289031736657247
128,128.0,adam,mse,relu,relu,100.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
129,129.0,adam,mse,relu,relu,100.0,1.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
130,130.0,adam,mse,relu,relu,100.0,1.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
131,131.0,adam,mse,relu,relu,100.0,1.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
132,132.0,adam,mse,relu,relu,100.0,1.0,2.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
133,133.0,adam,mse,relu,relu,100.0,1.0,2.0,1.0,2.0,0.0,4451257024512.0,4451257024512.0,1015698.5625,63.38059616088867,1.0,2109800.25,0.8293534517288208,0.5289031736657247
134,134.0,adam,mse,relu,relu,100.0,1.0,2.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
135,135.0,adam,mse,relu,relu,100.0,1.0,2.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
136,136.0,adam,mse,relu,relu,100.0,1.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
